,title,population,visiting_status,datetime_of_data,full_address,bop_region,county,judicial_district,gender
5057,FDC HOUSTON,725,Not Suspended,2023-12-13 10:56:29 PST,"1200 TEXAS AVENUE, HOUSTON, TX 77002",South Central Region,Harris,Southern Texas,Male and Female
5058,FCI JESUP,"1,648",Not Suspended,2023-12-13 10:56:45 PST,"2600 HIGHWAY 301 SOUTH, JESUP, GA 31599",Southeast Region,,Southern Georgia,Male
5059,FCI LA TUNA,780,Not Suspended,2023-12-13 10:57:00 PST,"8500 DONIPHAN ROAD, ANTHONY, TX 79821",South Central Region,EL PASO,Western Texas,Male
5060,USP LEAVENWORTH,"1,992",Not Suspended,2023-12-13 10:57:16 PST,"1300 METROPOLITAN, LEAVENWORTH, KS 66048",North Central Region,Leavenworth,Kansas,Male
5061,USP LEE,"1,506",Not Suspended,2023-12-13 10:57:31 PST,"LEE COUNTY INDUSTRIAL PARK, PENNINGTON GAP, VA 24277",Mid-Atlantic Region,Lee,Western Virginia,Male
5062,USP LEWISBURG,980,Not Suspended,2023-12-13 10:57:47 PST,"2400 ROBERT F. MILLER DRIVE, LEWISBURG, PA 17837",Northeast Region,UNION,Middle Pennsylvania,Male
5063,FMC LEXINGTON,"1,299",Not Suspended,2023-12-13 10:58:02 PST,"3301 LEESTOWN ROAD, LEXINGTON, KY 40511",Mid-Atlantic Region,Fayette,Eastern Kentucky,Male and Female
5064,FCI LOMPOC,909,Not Suspended,2023-12-13 10:58:17 PST,"3600 GUARD ROAD, LOMPOC, CA 93436",Western Region,SANTA BARBARA,Central California,Male
5065,USP LOMPOC,"2,149",Not Suspended,2023-12-13 10:58:33 PST,"3901 KLEIN BLVD, LOMPOC, CA 93436",Western Region,SANTA BARBARA,Central California,Male
5066,FCI LORETTO,820,Not Suspended,2023-12-13 10:58:48 PST,"772 SAINT JOSEPH ST., LORETTO, PA 15940",Northeast Region,CAMBRIA,Western Pennsylvania,Male
5067,MDC LOS ANGELES,633,Not Suspended,2023-12-13 10:59:04 PST,"535 N ALAMEDA STREET, LOS ANGELES, CA 90012",Western Region,Los Angeles,Central California,Male and Female
5068,FCI MANCHESTER,"1,085",Not Suspended,2023-12-13 10:59:19 PST,"805 FOX HOLLOW ROAD, MANCHESTER, KY 40962",Mid-Atlantic Region,Clay,Eastern Kentucky,Male
5069,FCI MARIANNA,"1,208",Not Suspended,2023-12-13 10:59:34 PST,"3625 FCI ROAD, MARIANNA, FL 32446",Southeast Region,Jackson,Northern Florida,Male and Female
5070,USP MARION,"1,313",Not Suspended,2023-12-13 10:59:50 PST,"4500 PRISON ROAD, MARION, IL 62959",North Central Region,Williamson,Southern Illinois,Male
5071,USP MCCREARY,"1,636",Not Suspended,2023-12-13 11:00:05 PST,"330 FEDERAL WAY, PINE KNOT, KY 42635",Mid-Atlantic Region,McCreary,Eastern Kentucky,Male
5072,FCI MCDOWELL,"1,544",Not Suspended,2023-12-13 11:00:21 PST,"101 FEDERAL DRIVE, WELCH, WV 24801",Mid-Atlantic Region,MCDOWELL,Southern West Virginia,Male
5073,FCI MCKEAN,"1,138",Not Suspended,2023-12-13 11:00:36 PST,"6975 ROUTE 59, LEWIS RUN, PA 16738",Northeast Region,MCKEAN,Western Pennsylvania,Male
5074,FCI MEMPHIS,"1,090",Not Suspended,2023-12-13 11:00:52 PST,"1101 JOHN A DENIE ROAD, MEMPHIS, TN 38134",Mid-Atlantic Region,SHELBY,Western Tennessee,Male
5075,FCI MENDOTA,"1,116",Suspended,2023-12-13 11:01:07 PST,"33500 WEST CALIFORNIA AVENUE, MENDOTA, CA 93640",Western Region,FRESNO,Eastern District of California,Male
5076,FCI MIAMI,960,Not Suspended,2023-12-13 11:01:22 PST,"15801 S.W. 137TH AVENUE, MIAMI, FL 33177",Southeast Region,Miami-Dade,Southern Florida,Male
5077,FDC MIAMI,962,Not Suspended,2023-12-13 11:01:38 PST,"33 NE 4TH STREET, MIAMI, FL 33132",Southeast Region,Miami-Dade,Southern Florida,Male and Female
5078,FCI MILAN,"1,555",Not Suspended,2023-12-13 11:01:53 PST,"4004 EAST ARKONA ROAD, MILAN, MI 48160",North Central Region,WASHTENAW,Eastern Michigan,Male
5079,FPC MONTGOMERY,581,Not Suspended,2023-12-13 11:02:08 PST,"MAXWELL AIR FORCE BASE, MONTGOMERY, AL 36112",Southeast Region,MONTGOMERY,Middle Alabama,Male
5080,FCI MORGANTOWN,444,Not Suspended,2023-12-13 11:02:24 PST,"446 GREENBAG ROAD, ROUTE 857, MORGANTOWN, WV 26501",Mid-Atlantic Region,Monongalia,Northern West Virginia,Male
5081,MCC NEW YORK,0,Suspended,2023-12-13 11:02:40 PST,"150 PARK ROW, NEW YORK, NY 10007",Northeast Region,New York,Southern New York,Male
5082,FCI OAKDALE II,"1,141",Not Suspended,2023-12-13 11:02:55 PST,"2105 EAST WHATLEY ROAD, OAKDALE, LA 71463",South Central Region,ALLEN,Western Louisiana,Male
5083,FCI OAKDALE I,801,Not Suspended,2023-12-13 11:03:10 PST,"1507 EAST WHATLEY ROAD, OAKDALE, LA 71463",South Central Region,ALLEN,Western Louisiana,Male
5084,FTC OKLAHOMA CITY,"1,373",Not Suspended,2023-12-13 11:03:25 PST,"7410 S. MACARTHUR BLVD, OKLAHOMA CITY, OK 73169",South Central Region,OKLAHOMA,Western Oklahoma,Male and Female
5085,FCI OTISVILLE,"1,056",Not Suspended,2023-12-13 11:03:41 PST,"TWO MILE DRIVE, OTISVILLE, NY 10963",Northeast Region,ORANGE,Southern New York,Male
5086,FCI OXFORD,993,Not Suspended,2023-12-13 11:03:56 PST,"COUNTY ROAD G & ELK AVENUE, OXFORD, WI 53952",North Central Region,ADAMS,Western Wisconsin,Male
5087,FCI PEKIN,"1,290",Not Suspended,2023-12-13 11:04:12 PST,"2600 S. SECOND ST., PEKIN, IL 61554",North Central Region,TAZEWELL,Central Illinois,Male and Female
5088,FPC PENSACOLA,492,Not Suspended,2023-12-13 11:04:27 PST,"110 RABY AVE, PENSACOLA, FL 32509",Southeast Region,ESCAMBIA,Northern Florida,Male
5089,FCI PETERSBURG MEDIUM,"1,659",Not Suspended,2023-12-13 11:04:42 PST,"1060 RIVER ROAD, HOPEWELL, VA 23860",Mid-Atlantic Region,Hopewell City,Eastern Virginia,Male
5090,FCI PETERSBURG LOW,681,Not Suspended,2023-12-13 11:04:58 PST,"1100 RIVER ROAD, HOPEWELL, VA 23860",Mid-Atlantic Region,Hopewell City,Eastern Virginia,Male
5091,FDC PHILADELPHIA,963,Not Suspended,2023-12-13 11:05:13 PST,"700 ARCH STREET, PHILADELPHIA, PA 19106",Northeast Region,Philadelphia,Eastern Pennsylvania,Male and Female
5092,FCI PHOENIX,"1,193",Not Suspended,2023-12-13 11:05:29 PST,"37900 N 45TH AVE, PHOENIX, AZ 85086",Western Region,Maricopa,Arizona,Male and Female
5093,FCI POLLOCK,"1,529",Not Suspended,2023-12-13 11:05:44 PST,"1000 AIRBASE ROAD, POLLOCK, LA 71467",South Central Region,GRANT,Western Louisiana,Male
5094,USP POLLOCK,"1,043",Not Suspended,2023-12-13 11:06:00 PST,"1000 AIRBASE ROAD, POLLOCK, LA 71467",South Central Region,Grant,Western Louisiana,Male
5095,FCI RAY BROOK,683,Not Suspended,2023-12-13 11:06:15 PST,"128 RAY BROOK ROAD, RAY BROOK, NY 12977",Northeast Region,Essex,Northern New York,Male
5096,FMC ROCHESTER,585,Not Suspended,2023-12-13 11:06:30 PST,"2110 EAST CENTER STREET, ROCHESTER, MN 55904",North Central Region,OLMSTED,Minnesota,Male
5097,FCI SAFFORD,652,Not Suspended,2023-12-13 11:06:46 PST,"1529 WEST HIGHWAY 366, SAFFORD, AZ 85546",Western Region,Graham,Arizona,Male
5098,MCC SAN DIEGO,724,Not Suspended,2023-12-13 11:07:01 PST,"808 UNION STREET, SAN DIEGO, CA 92101",Western Region,San Diego,Southern California,Male and Female
5099,FCI SANDSTONE,"1,122",Not Suspended,2023-12-13 11:07:16 PST,"2300 COUNTY RD 29, SANDSTONE, MN 55072",North Central Region,Pine,Minnesota,Male
5100,FCI SCHUYLKILL,"1,025",Not Suspended,2023-12-13 11:07:32 PST,"INTERSTATE 81 & 901 W, MINERSVILLE, PA 17954",Northeast Region,SCHUYLKILL,Middle Pennsylvania,Male
5101,FCI SEAGOVILLE,"1,739",Not Suspended,2023-12-13 11:07:47 PST,"2113 NORTH HWY 175, SEAGOVILLE, TX 75159",South Central Region,Dallas,Northern Texas,Male
5102,FDC SEATAC,793,Not Suspended,2023-12-13 11:08:03 PST,"2425 SOUTH 200TH STREET, SEATTLE, WA 98198",Western Region,King,Western Washington,Male and Female
5103,FCI SHERIDAN,"1,638",Not Suspended,2023-12-13 11:08:18 PST,"27072 BALLSTON ROAD, SHERIDAN, OR 97378",Western Region,YAMHILL,Oregon,Male
5104,MCFP SPRINGFIELD,939,Not Suspended,2023-12-13 11:08:33 PST,"1900 W. SUNSHINE ST, SPRINGFIELD, MO 65807",North Central Region,GREENE,Western Missouri,Male
5105,FCI TALLADEGA,"1,137",Not Suspended,2023-12-13 11:08:49 PST,"565 EAST RENFROE ROAD, TALLADEGA, AL 35160",Southeast Region,Talladega,Northern Alabama,Male
5106,FCI TALLAHASSEE,979,Not Suspended,2023-12-13 11:09:04 PST,"501 CAPITAL CIRCLE, NE, TALLAHASSEE, FL 32301",Southeast Region,Leon,Northern Florida,Male and Female
5107,FCI TERMINAL ISLAND,934,Not Suspended,2023-12-13 11:09:20 PST,"1299 SEASIDE AVENUE, SAN PEDRO, CA 90731",Western Region,LOS ANGELES,Central California,Male
5108,FCI TERRE HAUTE,"1,477",Not Suspended,2023-12-13 11:09:35 PST,"4200 BUREAU ROAD NORTH, TERRE HAUTE, IN 47808",North Central Region,VIGO,Southern Indiana,Male
5109,USP TERRE HAUTE,"1,136",Not Suspended,2023-12-13 11:09:54 PST,"4700 BUREAU ROAD SOUTH, TERRE HAUTE, IN 47802",North Central Region,VIGO,Southern Indiana,Male
5110,FCI TEXARKANA,"1,219",Not Suspended,2023-12-13 11:10:09 PST,"4001 LEOPARD DRIVE, TEXARKANA, TX 75501",South Central Region,Bowie,Eastern Texas,Male
5111,FCI THOMSON,"1,607",Not Suspended,2023-12-13 11:10:24 PST,"1100 ONE MILE ROAD, THOMSON, IL 61285",North Central Region,CARROLL,Northern District of Illinois,Male
5112,FCI THREE RIVERS,"1,307",Not Suspended,2023-12-13 11:10:40 PST,"US HIGHWAY 72 WEST, THREE RIVERS, TX 78071",South Central Region,Live Oak,Southern Texas,Male
5113,FCI TUCSON,362,Suspended,2023-12-13 11:10:55 PST,"8901 S. WILMOT ROAD, TUCSON, AZ 85756",Western Region,PIMA,Arizona,Male and Female
5114,USP TUCSON,"1,367",Not Suspended,2023-12-13 11:11:10 PST,"9300 SOUTH WILMOT ROAD, TUCSON, AZ 85756",Western Region,PIMA,Arizona,Male
5115,FCI VICTORVILLE MEDIUM I,"1,661",Not Suspended,2023-12-13 11:11:26 PST,"13777 AIR EXPRESSWAY BLVD, VICTORVILLE, CA 92394",Western Region,SAN BERNARDINO,Central California,Male and Female
5116,FCI VICTORVILLE MEDIUM II,"1,361",Not Suspended,2023-12-13 11:11:41 PST,"13777 AIR EXPRESSWAY BLVD, VICTORVILLE, CA 92394",Western Region,SAN BERNARDINO,Central California,Male
5117,USP VICTORVILLE,"1,232",Not Suspended,2023-12-13 11:11:57 PST,"13777 AIR EXPRESSWAY BLVD, VICTORVILLE, CA 92394",Western Region,San Bernardino,Central California,Male
5118,FCI WASECA,743,Not Suspended,2023-12-13 11:12:12 PST,"1000 UNIVERSITY DR, SW, WASECA, MN 56093",North Central Region,Waseca,Minnesota,Female
5119,FCI WILLIAMSBURG,"1,351",Not Suspended,2023-12-13 11:12:27 PST,"8301 HIGHWAY 521, SALTERS, SC 29590",Southeast Region,Williamsburg,South Carolina,Male
5120,FPC YANKTON,432,Not Suspended,2023-12-13 11:12:44 PST,"1016 DOUGLAS AVENUE, YANKTON, SD 57078",North Central Region,Yankton,South Dakota,Male
5121,FCI YAZOO CITY MEDIUM,"1,391",Not Suspended,2023-12-13 11:12:59 PST,"2225 HALEY BARBOUR PARKWAY, YAZOO CITY, MS 39194",Southeast Region,YAZOO,Southern Mississippi,Male
5122,FCI YAZOO CITY LOW,"1,458",Not Suspended,2023-12-13 11:13:15 PST,"2225 HALEY BARBOUR PARKWAY, YAZOO CITY, MS 39194",Southeast Region,YAZOO,Southern Mississippi,Male
5123,USP YAZOO CITY,"1,521",Not Suspended,2023-12-13 11:13:34 PST,"2225 HALEY BARBOUR PKWY, YAZOO CITY, MS 39194",Southeast Region,YAZOO,Southern Mississippi,Male
5124,FPC ALDERSON,716,Not Suspended,2024-01-28 20:18:07 PST,"GLEN RAY RD. BOX A, ALDERSON, WV 24910",Mid-Atlantic Region,GREENBRIER,Southern West Virginia,Female
5125,FCI ALICEVILLE,"1,603",Not Suspended,2024-01-28 20:18:23 PST,"11070 HIGHWAY 14, ALICEVILLE, AL 35442",Southeast Region,PICKENS,Northern District of Alabama,Female
5126,FCI ALLENWOOD LOW,"1,008",Not Suspended,2024-01-28 20:18:38 PST,"RT 15,2 MILES N OF ALLENWOOD, ALLENWOOD, PA 17810",Northeast Region,UNION,Middle Pennsylvania,Male
5127,FCI ALLENWOOD MEDIUM,"1,280",Suspended,2024-01-28 20:18:54 PST,"RT 15, 2 MI N OF ALLENWOOD, WHITE DEER, PA 17810",Northeast Region,Union,Middle Pennsylvania,Male
5128,USP ALLENWOOD,287,Not Suspended,2024-01-28 20:19:10 PST,"RT 15,2 MILES N OF ALLENWOOD, ALLENWOOD, PA 17810",Northeast Region,Union,Middle Pennsylvania,Male
5129,FCI ASHLAND,"1,319",Not Suspended,2024-01-28 20:19:25 PST,"ST. ROUTE 716, ASHLAND, KY 41105",Mid-Atlantic Region,BOYD,Eastern Kentucky,Male
5130,USP ATLANTA,"1,678",Not Suspended,2024-01-28 20:19:41 PST,"601 MCDONOUGH BLVD SE, ATLANTA, GA 30315",Southeast Region,FULTON,Northern Georgia,Male
5131,USP ATWATER,"1,180",Not Suspended,2024-01-28 20:19:56 PST,"1 FEDERAL WAY, ATWATER, CA 95301",Western Region,MERCED,Eastern California,Male
5132,FCI BASTROP,"1,077",Not Suspended,2024-01-28 20:20:12 PST,"1341 HIGHWAY 95 NORTH, BASTROP, TX 78602",South Central Region,Bastrop,Western Texas,Male
5133,FCI BEAUMONT LOW,"2,013",Not Suspended,2024-01-28 20:20:27 PST,"5560 KNAUTH ROAD, BEAUMONT, TX 77705",South Central Region,Jefferson,Eastern Texas,Male
5134,FCI BEAUMONT MEDIUM,"1,651",Not Suspended,2024-01-28 20:20:43 PST,"5830 KNAUTH ROAD, BEAUMONT, TX 77705",South Central Region,Jefferson,Eastern Texas,Male
5135,USP BEAUMONT,"1,149",Not Suspended,2024-01-28 20:20:58 PST,"6200 KNAUTH ROAD, BEAUMONT, TX 77705",South Central Region,Jefferson,Eastern Texas,Male
5136,FCI BECKLEY,"1,678",Suspended,2024-01-28 20:21:14 PST,"1600 INDUSTRIAL ROAD, BEAVER, WV 25813",Mid-Atlantic Region,Raleigh,Southern West Virginia,Male
5137,FCI BENNETTSVILLE,"1,680",Not Suspended,2024-01-28 20:21:29 PST,"696 MUCKERMAN ROAD, BENNETTSVILLE, SC 29512",Southeast Region,Marlboro,South Carolina,Male
5138,FCI BERLIN,781,Not Suspended,2024-01-28 20:21:45 PST,"1 SUCCESS LOOP ROAD, BERLIN, NH 03570",Northeast Region,COOS COUNTY,District of New Hampshire,Male
5139,USP BIG SANDY,"1,377",Not Suspended,2024-01-28 20:22:00 PST,"1197 AIRPORT ROAD, INEZ, KY 41224",Mid-Atlantic Region,Martin,Eastern Kentucky,Male
5140,FCI BIG SPRING,"1,065",Not Suspended,2024-01-28 20:22:15 PST,"1900 SIMLER AVE, BIG SPRING, TX 79720",South Central Region,HOWARD,Northern Texas,Male
5141,MDC BROOKLYN,"1,499",Not Suspended,2024-01-28 20:22:31 PST,"80 29TH STREET, BROOKLYN, NY 11232",Northeast Region,KINGS,Eastern New York,Male and Female
5142,FPC BRYAN,702,Not Suspended,2024-01-28 20:22:46 PST,"1100 URSULINE AVENUE, BRYAN, TX 77803",South Central Region,BRAZOS,Southern Texas,Female
5143,FCI BUTNER MEDIUM II,"1,417",Not Suspended,2024-01-28 20:23:02 PST,"OLD NC HWY 75, BUTNER, NC 27509",Mid-Atlantic Region,GRANVILLE,Eastern North Carolina,Male
5144,FCI BUTNER LOW,958,Not Suspended,2024-01-28 20:23:17 PST,"OLD NC HWY 75, BUTNER, NC 27509",Mid-Atlantic Region,GRANVILLE,Eastern North Carolina,Male
5145,FCI BUTNER MEDIUM I,886,Not Suspended,2024-01-28 20:23:33 PST,"OLD NC HWY 75, BUTNER, NC 27509",Mid-Atlantic Region,GRANVILLE,Eastern North Carolina,Male
5146,FMC BUTNER,847,Not Suspended,2024-01-28 20:23:48 PST,"OLD N. CAROLINA HWY 75, BUTNER, NC 27509",Mid-Atlantic Region,Granville,Eastern North Carolina,Male
5147,USP CANAAN,"1,282",Suspended,2024-01-28 20:24:04 PST,"3057 ERIC J. WILLIAMS, WAYMART, PA 18472",Northeast Region,WAYNE,Middle Pennsylvania,Male
5148,FMC CARSWELL,987,Not Suspended,2024-01-28 20:24:19 PST,"NAVAL AIR STATION, FORT WORTH, TX 76127",South Central Region,TARRANT,Northern Texas,Female
5149,MCC CHICAGO,517,Not Suspended,2024-01-28 20:24:34 PST,"71 WEST VAN BUREN STREET, CHICAGO, IL 60605",North Central Region,COOK,Northern Illinois,Male and Female
5150,FCI COLEMAN LOW,"2,060",Not Suspended,2024-01-28 20:24:50 PST,"846 NE 54TH TERRACE, SUMTERVILLE, FL 33521",Southeast Region,SUMTER,Middle Florida,Male
5151,FCI COLEMAN MEDIUM,"1,575",Not Suspended,2024-01-28 20:25:05 PST,"846 NE 54TH TERRACE, SUMTERVILLE, FL 33521",Southeast Region,SUMTER,Middle Florida,Male
5152,USP COLEMAN II,"1,177",Not Suspended,2024-01-28 20:25:21 PST,"846 NE 54TH TERRACE, SUMTERVILLE, FL 33521",Southeast Region,SUMTER,Middle Florida,Male
5153,USP COLEMAN I,"1,419",Not Suspended,2024-01-28 20:25:36 PST,"846 NE 54TH TERRACE, SUMTERVILLE, FL 33521",Southeast Region,SUMTER,Middle Florida,Male
5154,FCI CUMBERLAND,"1,044",Not Suspended,2024-01-28 20:25:52 PST,"14601 BURBRIDGE RD SE, CUMBERLAND, MD 21502",Mid-Atlantic Region,Allegany,Maryland,Male
5155,FCI DANBURY,"1,030",Not Suspended,2024-01-28 20:26:07 PST,"33 1/2 PEMBROKE STATION, DANBURY, CT 06811",Northeast Region,FAIRFIELD,Connecticut,Male and Female
5156,FMC DEVENS,910,Not Suspended,2024-01-28 20:26:23 PST,"42 PATTON ROAD, AYER, MA 01432",Northeast Region,MIDDLESEX,Massachusetts,Male
5157,FCI DUBLIN,700,Not Suspended,2024-01-28 20:26:38 PST,"5701 8TH ST - CAMP PARKS, DUBLIN, CA 94568",Western Region,Alameda,Northern California,Female
5158,FPC DULUTH,459,Not Suspended,2024-01-28 20:26:54 PST,"4464 RALSTON DRIVE, DULUTH, MN 55811",North Central Region,SAINT LOUIS,Minnesota,Male
5159,FCI EDGEFIELD,"2,071",Not Suspended,2024-01-28 20:27:09 PST,"501 GARY HILL ROAD, EDGEFIELD, SC 29824",Southeast Region,Edgefield,South Carolina,Male
5160,FCI EL RENO,"1,214",Not Suspended,2024-01-28 20:27:25 PST,"4205 HIGHWAY 66 WEST, EL RENO, OK 73036",South Central Region,CANADIAN,Western Oklahoma,Male
5161,FCI ELKTON,"1,895",Not Suspended,2024-01-28 20:27:40 PST,"8730 SCROGGS ROAD, LISBON, OH 44432",Northeast Region,COLUMBIANA,Northern Ohio,Male
5162,FCI ENGLEWOOD,893,Not Suspended,2024-01-28 20:27:55 PST,"9595 WEST QUINCY AVENUE, LITTLETON, CO 80123",North Central Region,JEFFERSON,Colorado,Male
5163,FCI ESTILL,59,Not Suspended,2024-01-28 20:28:11 PST,"100 PRISON ROAD, ESTILL, SC 29918",Southeast Region,HAMPTON,South Carolina,Male
5164,FCI FAIRTON,791,Not Suspended,2024-01-28 20:28:27 PST,"655 FAIRTON-MILLVILLE ROAD, FAIRTON, NJ 08320",Northeast Region,Cumberland,New Jersey,Male
5165,FCI FLORENCE,"1,259",Not Suspended,2024-01-28 20:28:42 PST,"5880 HWY 67 SOUTH, FLORENCE, CO 81226",North Central Region,Fremont,Colorado,Male
5166,USP FLORENCE ADMAX,329,Not Suspended,2024-01-28 20:28:58 PST,"5880 HWY 67 SOUTH, FLORENCE, CO 81226",North Central Region,Fremont,Colorado,Male
5167,USP FLORENCE - HIGH,930,Suspended,2024-01-28 20:29:13 PST,"5880 HWY 67 S, FLORENCE, CO 81226",North Central Region,Fremont,Colorado,Male
5168,FCI FORREST CITY MEDIUM,"1,668",Not Suspended,2024-01-28 20:29:28 PST,"1400 DALE BUMPERS ROAD, FORREST CITY, AR 72335",South Central Region,SAINT FRANCIS,Eastern Arkansas,Male
5169,FCI FORREST CITY LOW,"1,816",Not Suspended,2024-01-28 20:29:44 PST,"1400 DALE BUMPERS ROAD, FORREST CITY, AR 72335",South Central Region,SAINT FRANCIS,Eastern Arkansas,Male
5170,FCI FORT DIX,"3,877",Not Suspended,2024-01-28 20:30:00 PST,"5756 HARTFORD &, JOINT BASE MDL, NJ 08640",Northeast Region,BURLINGTON,New Jersey,Male
5171,FMC FORT WORTH,"1,451",Not Suspended,2024-01-28 20:30:15 PST,"3150 HORTON ROAD, FORT WORTH, TX 76119",South Central Region,Tarrant,Northern Texas,Male
5172,FCI GILMER,"1,640",Not Suspended,2024-01-28 20:30:31 PST,"201 FCI LANE, GLENVILLE, WV 26351",Mid-Atlantic Region,GILMER,Northern West Virginia,Male
5173,FCI GREENVILLE,"1,306",Not Suspended,2024-01-28 20:30:46 PST,"100 U.S. HWY 40, GREENVILLE, IL 62246",North Central Region,Bond,Southern Illinois,Male and Female
5174,MDC GUAYNABO,"1,152",Suspended,2024-01-28 20:31:02 PST,"652 CARRETERA 28, GUAYNABO, PR 00965",Southeast Region,GUAYNABO,"Puerto Rico, U.S. Virgin Islands",Male and Female
5175,FCI HAZELTON,"1,977",Suspended,2024-01-28 20:31:17 PST,"1640 SKY VIEW DRIVE, BRUCETON MILLS, WV 26525",Mid-Atlantic Region,PRESTON,Northern District of West Virginia,Male and Female
5176,USP HAZELTON,"1,434",Not Suspended,2024-01-28 20:31:32 PST,"1640 SKY VIEW DRIVE, BRUCETON MILLS, WV 26525",Mid-Atlantic Region,PRESTON,Northern District of West Virginia,Male
5177,FCI HERLONG,"1,480",Suspended,2024-01-28 20:31:48 PST,"741-925 ACCESS ROAD A-25, HERLONG, CA 96113",Western Region,Lassen,Eastern California,Male
5178,FDC HONOLULU,236,Not Suspended,2024-01-28 20:32:03 PST,"351 ELLIOTT ST, HONOLULU, HI 96819",Western Region,Honolulu,Hawaii,Male and Female
5179,FDC HOUSTON,678,Not Suspended,2024-01-28 20:32:19 PST,"1200 TEXAS AVENUE, HOUSTON, TX 77002",South Central Region,Harris,Southern Texas,Male and Female
5180,FCI JESUP,"1,666",Not Suspended,2024-01-28 20:32:35 PST,"2600 HIGHWAY 301 SOUTH, JESUP, GA 31599",Southeast Region,,Southern Georgia,Male
5181,FCI LA TUNA,713,Not Suspended,2024-01-28 20:32:50 PST,"8500 DONIPHAN ROAD, ANTHONY, TX 79821",South Central Region,EL PASO,Western Texas,Male
5182,USP LEAVENWORTH,"1,963",Not Suspended,2024-01-28 20:33:07 PST,"1300 METROPOLITAN, LEAVENWORTH, KS 66048",North Central Region,Leavenworth,Kansas,Male
5183,USP LEE,"1,460",Not Suspended,2024-01-28 20:33:23 PST,"LEE COUNTY INDUSTRIAL PARK, PENNINGTON GAP, VA 24277",Mid-Atlantic Region,Lee,Western Virginia,Male
5184,USP LEWISBURG,972,Not Suspended,2024-01-28 20:33:38 PST,"2400 ROBERT F. MILLER DRIVE, LEWISBURG, PA 17837",Northeast Region,UNION,Middle Pennsylvania,Male
5185,FMC LEXINGTON,"1,273",Not Suspended,2024-01-28 20:33:54 PST,"3301 LEESTOWN ROAD, LEXINGTON, KY 40511",Mid-Atlantic Region,Fayette,Eastern Kentucky,Male and Female
5186,FCI LOMPOC,893,Not Suspended,2024-01-28 20:34:10 PST,"3600 GUARD ROAD, LOMPOC, CA 93436",Western Region,SANTA BARBARA,Central California,Male
5187,USP LOMPOC,"2,329",Not Suspended,2024-01-28 20:34:26 PST,"3901 KLEIN BLVD, LOMPOC, CA 93436",Western Region,SANTA BARBARA,Central California,Male
5188,FCI LORETTO,803,Not Suspended,2024-01-28 20:34:43 PST,"772 SAINT JOSEPH ST., LORETTO, PA 15940",Northeast Region,CAMBRIA,Western Pennsylvania,Male
5189,MDC LOS ANGELES,601,Not Suspended,2024-01-28 20:34:59 PST,"535 N ALAMEDA STREET, LOS ANGELES, CA 90012",Western Region,Los Angeles,Central California,Male and Female
5190,FCI MANCHESTER,"1,124",Not Suspended,2024-01-28 20:35:15 PST,"805 FOX HOLLOW ROAD, MANCHESTER, KY 40962",Mid-Atlantic Region,Clay,Eastern Kentucky,Male
5191,FCI MARIANNA,"1,227",Not Suspended,2024-01-28 20:35:31 PST,"3625 FCI ROAD, MARIANNA, FL 32446",Southeast Region,Jackson,Northern Florida,Male and Female
5192,USP MARION,"1,321",Not Suspended,2024-01-28 20:35:47 PST,"4500 PRISON ROAD, MARION, IL 62959",North Central Region,Williamson,Southern Illinois,Male
5193,USP MCCREARY,"1,578",Not Suspended,2024-01-28 20:36:02 PST,"330 FEDERAL WAY, PINE KNOT, KY 42635",Mid-Atlantic Region,McCreary,Eastern Kentucky,Male
5194,FCI MCDOWELL,"1,559",Not Suspended,2024-01-28 20:36:18 PST,"101 FEDERAL DRIVE, WELCH, WV 24801",Mid-Atlantic Region,MCDOWELL,Southern West Virginia,Male
5195,FCI MCKEAN,"1,159",Not Suspended,2024-01-28 20:36:34 PST,"6975 ROUTE 59, LEWIS RUN, PA 16738",Northeast Region,MCKEAN,Western Pennsylvania,Male
5196,FCI MEMPHIS,"1,070",Not Suspended,2024-01-28 20:36:51 PST,"1101 JOHN A DENIE ROAD, MEMPHIS, TN 38134",Mid-Atlantic Region,SHELBY,Western Tennessee,Male
5197,FCI MENDOTA,"1,053",Suspended,2024-01-28 20:37:06 PST,"33500 WEST CALIFORNIA AVENUE, MENDOTA, CA 93640",Western Region,FRESNO,Eastern District of California,Male
5198,FCI MIAMI,975,Not Suspended,2024-01-28 20:37:22 PST,"15801 S.W. 137TH AVENUE, MIAMI, FL 33177",Southeast Region,Miami-Dade,Southern Florida,Male
5199,FDC MIAMI,942,Not Suspended,2024-01-28 20:37:37 PST,"33 NE 4TH STREET, MIAMI, FL 33132",Southeast Region,Miami-Dade,Southern Florida,Male and Female
5200,FCI MILAN,"1,553",Not Suspended,2024-01-28 20:37:53 PST,"4004 EAST ARKONA ROAD, MILAN, MI 48160",North Central Region,WASHTENAW,Eastern Michigan,Male
5201,FPC MONTGOMERY,619,Not Suspended,2024-01-28 20:38:08 PST,"MAXWELL AIR FORCE BASE, MONTGOMERY, AL 36112",Southeast Region,MONTGOMERY,Middle Alabama,Male
5202,FCI MORGANTOWN,419,Not Suspended,2024-01-28 20:38:24 PST,"446 GREENBAG ROAD, ROUTE 857, MORGANTOWN, WV 26501",Mid-Atlantic Region,Monongalia,Northern West Virginia,Male
5203,MCC NEW YORK,0,Suspended,2024-01-28 20:38:40 PST,"150 PARK ROW, NEW YORK, NY 10007",Northeast Region,New York,Southern New York,Male
